"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
7.078824640E-1;2.970943928E0;-2.341758013E0;-1.312026978E0
7.126746930E-1;2.664114952E0;-1.928372979E0;-1.095312953E0
7.174667910E-1;2.572149038E0;-1.592118979E0;-1.660761952E0
7.222590960E-1;2.268579006E0;-1.201436043E0;-2.038723946E0
7.270510980E-1;1.973358035E0;-8.527780175E-1;-2.387404919E0
7.318433270E-1;1.793817997E0;-5.708860159E-1;-2.642785072E0
7.366354060E-1;1.641363978E0;-2.237630039E-1;-2.816907883E0
7.414276540E-1;1.431987047E0;5.967799947E-2;-2.960149050E0
7.462197330E-1;1.208585024E0;3.540489972E-1;-3.106122017E0
7.510119620E-1;9.950659871E-1;6.357859969E-1;-3.137609005E0
7.558040360E-1;8.775330186E-1;8.501260281E-1;-3.069052935E0
7.605963410E-1;7.434149981E-1;1.021054983E0;-2.960328102E0
7.653885740E-1;6.763820052E-1;1.179999948E0;-2.821083069E0
7.701806510E-1;6.314749718E-1;1.231302023E0;-2.624829054E0
7.749728800E-1;6.077960134E-1;1.216243029E0;-2.446099997E0
7.797649350E-1;5.365250111E-1;1.337743998E0;-2.184214115E0
7.845569350E-1;5.601900220E-1;1.333142996E0;-1.880020976E0
7.893491630E-1;4.635629952E-1;1.262508988E0;-1.591043949E0
7.941412470E-1;3.902190030E-1;1.185330987E0;-1.286054969E0
7.989334760E-1;3.662689924E-1;1.148947001E0;-9.744769931E-1
8.037255600E-1;3.128600121E-1;1.090852022E0;-7.113109827E-1
8.085177890E-1;3.257130086E-1;1.005988002E0;-4.629560113E-1
8.133098680E-1;3.260880113E-1;8.512549996E-1;-2.437780052E-1
8.181021740E-1;3.165549934E-1;7.005479932E-1;-2.495500073E-2
8.228944060E-1;3.283259869E-1;6.036480069E-1;2.319449931E-1
8.276864830E-1;3.351550102E-1;5.240579844E-1;4.217250049E-1
8.324787160E-1;2.943660021E-1;4.063909948E-1;6.090930104E-1
8.372707950E-1;1.633089930E-1;3.100830019E-1;8.300420046E-1
8.420627810E-1;2.080100030E-2;2.464379966E-1;1.046434045E0
